Category,Competition Date,Competition Title,FIRST,Final,LAST,Nation,Points,Qualification,Rank,StartNr,Semifinal,Qualification 1,Qualification 2
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Lucka,46+,RAKOVEC,SLO,1.73,,1,222,39,50+1.,44 2.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Laura,45+,ROGORA,ITA,15.62,,2,234,39+,16+24.,36+7.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Luce,43,DOUADY,FRA,7.83,,3,229,38+,48+3.,30+15.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Mina,42+,MARKOVIC,SLO,15.62,,4,237,43+,16+24.,36+7.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Jessica,42,PILZ,AUT,3.87,,5,213,38+,46+5.,42+3.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Tina Johnsen,39,HAFSAAS,NOR,16.39,,6,216,40+,38+11.,30 21.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Tjasa,22+,KALAN,SLO,11.05,,7,201,40+,16+24.,39+4.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Anak,21+,VERHOEVEN,BEL,1.22,,8,203,46,50+1.,Top1.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Camille,,POUGET,FRA,12.89,,9,206,38,39 9.,30+15.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Anne-Sophie,,KOLLER,SUI,14.79,,10,217,38,38+11.,30+15.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Mia,,KRAMPL,SLO,5.74,,11,230,37+,46 6.,37+5.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Molly,,THOMPSON-SMITH,GBR,6.48,,12,235,37+,48+3.,35+10.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Nika,,POTAPOVA,UKR,23.10,,13,209,37,16+24.,30+15.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Nolwenn,,ARC,FRA,19.13,,14,220,36+,16+24.,35+10.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Michelle,,HULLIGER,SUI,19.13,,14,225,36+,16+24.,35+10.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Katherine,,CHOONG,SUI,23.10,,16,215,36+,16+24.,30+15.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Vanda,,MICHALKOVA,SVK,10.68,,17,214,36,39 9.,35+10.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Lynn,,VAN DER MEER,NED,7.75,,18,227,35+,39+7.,36+7.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Nina,,ARTHAUD,FRA,21.98,,19,232,35+,24+21.,27+23.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Julia,,FISER,AUT,13.96,,20,224,35,39+7.,21 25.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Christine,,SCHRANZ,AUT,8.29,,21,205,34+,38+11.,37+5.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Hannah,,SCHUBERT,AUT,19.13,,22,208,32+,16+24.,35+10.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Claudia,,GHISOLFI,ITA,19.94,,23,231,27+,25+18.,30 21.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Anna,,ZAIKINA,RUS,16.20,,24,218,24+,37+15.,30+15.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Noa,,SHIRAN,ISR,22.09,,25,211,21+,35+16.,14+30.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Daria,,VERETENINA,RUS,17.32,,26,223,18,38+11.,26+24.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Emma Stöver,,WOLLEBAEK,NOR,24.08,,27,219,,25 20.,17 29.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Jennifer,,WOOD,GBR,24.22,,28,204,,30+17.,12+32.
lead,4  - 6 October 2019,"European Championship (L,S) - Edinburgh (GBR) 2019",Ingrid,,KINDLIHAGEN,NOR,25.26,,29,212,,25+18.,12+32.
